ID,Reviews,Sentiment
0,বোকা নাটক,negative
1,নাটকখন বৰ ধুনীয়া আছিল,positive
2,এখন ভাল ঘৰ এনে হব লাগে,positive
3,এইটো আশ্চৰ্যকৰ আছিল,positive
4,মই বহুদিন অপেক্ষা কৰি আছো. অৱশেষত দেখিলো. কেৱল বিস্ময়কৰ.,positive
5,নাটক তেনেকুৱা হব লাগে,positive
6,অতুলনীয় বছ,positive
7,এইখন এখন নাটক যত শালাৰ পৰিচালকে সমাজখন ধ্বস কৰিবলৈ চেষ্টা কৰি আছে,negative
8,নিশো তিশা এটা ডাঙৰ দম্পতী,positive
9,এইখন এখন সুন্দৰ নাটক,positive
10,পোহনীয়া জন্তুৰ কাহিনী,negative
11,আৱেগিক জটিলতাবোৰ অতি ৰোমাঞ্চকৰ আছিল! এইটো সচাকৈয়ে আশ্চৰ্যকৰ মই এই নাটকখন কেৱল ৰমজানৰ ঈদতহে চাইছিলো আৰু এইবাৰ মই ঈদত আগ্ৰহেৰে চাইছিলো সেইটো ভাল,positive
12,কাহিনী অবিহনে নাটক! একো নহল,negative
13,"ধন্যবাদ নকবা, সেই মূৰ্খ শাহুৱেকৰ দৰে মই বালা কব নোৱাৰো, ধন্যবাদ",negative
14,"যদি বুকু বা কাষৰ পিছত আফ্ৰান নিশোৰ শ্ৰেষ্ঠ নাটকবোৰৰ ভিতৰত এখন আছে, তেনেহলে এয়া হৈছে",positive
15,এইটো কিয় ইমান অশালীন?,negative
16,সন্তানক কোৰাণ শিকাওক ই কাইলৈ পুনৰুত্থানৰ ক্ষেত্ৰত উপযোগী হব,positive
17,এই নাটকত ৪টা ৰাম ছাগলী আৰু ১টা মহ আৰু দুই এজন মানুহ আৰু নিম্নমানৰ অভিনয়ৰ বাহিৰে একোৱেই নাই! পুৰাই আবোল তবোল,negative
18,বালাদেশী নাটকৰ নাটক আৰু গীতবোৰ অতি সুন্দৰ মই ভাৰতৰ পৰা কৈছো,positive
19,মেহজাবিয়েনৰ চৰিত্ৰ ইনোচেণ্ট বৰ ভাল,positive
20,সুন্দৰ কাহিনীসম্পাদনা কৰক,positive
21,মোৰ বৰ ভাল লাগিছে যদিও কেতিয়াবা নাছিৰ চুবাৰ কথাও মনলৈ আহিছিল,positive
22,প্ৰেম এনেধৰণৰ হব লাগে:,positive
23,চাও নিশোভাইৰ শেষৰখন সুন্দৰ নাটক কোনে দেখিছে,positive
24,"আগৰখন,দেউতাকৰ বিয়াত অলপ যুক্তি আছিল,কিন্তু ইয়াত কোনো যুক্তি নাই, এইটো সম্পূৰ্ণ অৰ্থহীন",negative
25,নাটকখনত অশ্লীল হোৱা বাবে কোনেও নাটক নাচায়,negative
26,যদি জাৰিন আৰু আয়ানে বিবাহপাশত আৱদ্ধ হলহেতেন আৰু নাটকখন শেষ হলহেতেন তেন্তে ভাল হলহেতেন,positive
27,ইমান ধুনীয়া নাটক সচা. উত্তম ধন্যবাদ মিজানুৰ ৰহমান আৰিয়ান ভাই.,positive
28,ই এক অতি পৃথক নাটক!,negative
29,এনে এখন ধুনীয়া নাটকৰ বাবে পৰিচালকজনক ধন্যবাদ,positive
30,ভুৱা নাটক,negative
31,ড্ৰামা অৱ দ্য বয়সম্পাদনা কৰক,negative
32,"তাহছিন ভাইৰ গানটো শুনিলেই এনে লাগে যেন মই প্ৰেমৰ সাগৰত ওপঙি আছো, বতাহত উৰি আছো, ধন্যবাদ অলি ভাই",positive
33,"মই বহুত নাটক দেখিছো কিন্তু ই আটাইতকৈ ভাল কাৰণ ইয়াত প্ৰাৰ্থনাৰ ওপৰত যথেষ্ট গুৰুত্ব দিয়া হৈছে, কাজল আৰেফিন আমি ভাই আৰু মোৰ বছ আফ্ৰান নিছো, আৰু তানজিন টিছাক ধন্যবাদ",positive
34,আচোদা শুভোদা নাটক,negative
35,"আচহুৱা ভাই, মই বুজি নাপাও কিয় এই নাটকখনক ফ্ৰেণ্ডছ উইথ বেনিফিটছ বুলি কোৱা হৈছে? কিন্তু নাটকখন ভাল আছিল! মই নামকৰণ টাইটো বুজি নাপাও",positive
36,মেৰিল প্ৰথম আলো বটা আপোনাৰ নিশ্চিত,positive
37,"যদি আপোনাৰ নাটকত ইমান বেছি বিজ্ঞাপন আছে, আপুনি নাটকখন চোৱাৰ প্ৰয়োজন আছে নেকি, কেৱল যদি আপুনি বিজ্ঞাপনৰ সৈতে কাম কৰে,",negative
38,অৰ্পৱ ভাইৰ বন্ধুসকল চিন্তাৰ পৰা মুক্ত আমি ২০১৯ চনৰ শ্ৰেষ্ঠ অভিনেতাঅভিনেত্ৰী আৰু শ্ৰেষ্ঠ নাটকৰ সন্মান লাভ কৰিছো,positive
39,এইটো অভিনয় আছিল নেকি?,negative
40,কুকুৰ পোৱালি আপুনি মোক ভন দুৱাৰ বুলি নকয় কিয়?,negative
41,মিজানুৰ ৰহমান আৰিয়ানৰ প্ৰতিখন নাটকে চিত্তাকৰ্ষক,positive
42,এইটো ভাল হব নালাগিছিলনে?,positive
43,এই ধৰণৰ মায়ে মোক ভাল পালেহেতেন আৰু মই তাইক চুমা এটা দিলোহেতেন,positive
44,"অৰ্ক এজন লৰা হিচাপে বহুত ভাল, কিন্তু জোৱায়েক হিচাপে মদন হাহাহাহাহা .",positive
45,প্ৰাৰ্থনাৰ বাবে মোক দিয়া বাৰ্তাৰ বাবে এইখন ২০১৯ চনৰ মোৰ শ্ৰেষ্ঠ নাটক,positive
46,"মাতৃৰ জীৱন কিন্তু কেতিয়াবা পিতৃয়ে মাকক বিৰতি দিব লাগে যদি গোটেই দিনটোৰ বাবে নহয় কিছু সময়ৰ বাবে. যদি নহয়, এদিনৰ বাবে ৰন্ধাবঢ়াৰ কষ্টৰ পৰা মুক্তি পাবলৈ বাহিৰৰ পৰা খাদ্যৰ অৰ্ডাৰ দিব পাৰে",negative
47,"মেয়েটার নির্দোষতা দেখে আমার রাগ লাগছে, যদি আমি ওকে একবার থাপ্পড় মারতে পারতাম, তাহলে ও ঠিক হয়ে যেত",negative
48,মেজাজটো ইমান বেয়া যে লিখিবলৈ মন গৈছে,negative
49,"ই আন কোনো নাটকৰ দৰে নহয় সম্পূৰ্ণ পৃথক এইটো মই দেখা আটাইতকৈ ভাল শ্ব সকলোৱে মন্তব্য কৰিছিল আৰু একেটা কথাকে কৈছিল চাবলগীয়া এখন নাটক মই শ্বটোৰ আগৰ অশটো দেখিছো এক কথাত, এয়া আশ্চৰ্যজনক জীৱনটো হাইলাইট কৰা হয় আৰু এইটো এটা সত্য যে জীৱনটো কেৱল এটা",positive
50,এইটো বহুত ভাল আছিল,positive
51,একেটা বাসস্থান পচা কাহিনী,negative
52,"আফ্ৰাণ নিশো এখন চমৎকাৰ নাটক, এই নাটকখন মোৰ বৰ ভাল লাগে",positive
53,আমি অপ্ৰীতিকৰ ঘটনাবোৰ দেখুওৱাৰ পৰিৱৰ্তে শুদ্ধ আনন্দৰ গঠনমূলক নাটক প্ৰদৰ্শন কৰা উচিত,negative
54,এটা বেয়া নাক,negative
55,অতিৰঞ্জিত ভাড়াতীয়া,negative
